pid,SSN
p0001,123-45-6789
p0002,123-45-6790
p0003,123-45-6791
p0004,123-45-6792
p0005,123-45-6793
p0006,123-45-6794
p0007,123-45-6795
p0008,123-45-6796
p0009,123-45-6797
p0010,123-45-6798
p0011,123-45-6799
p0012,123-45-6800
p0013,123-45-6801
p0014,123-45-6802
p0015,123-45-6803
p0016,123-45-6804
p0017,123-45-6805
p0018,123-45-6806
p0019,123-45-6807
p0020,123-45-6808
p0021,123-45-6809
p0022,123-45-6810
p0023,123-45-6811
p0024,123-45-6812
p0025,123-45-6813
p0026,123-45-6814
p0027,123-45-6815
p0028,123-45-6816
p0029,123-45-6817
p0030,123-45-6818
