sid,SSN
10001,123-45-6789
10002,123-45-6790
10003,123-45-6791
10004,123-45-6792
10005,123-45-6793
10006,123-45-6794
10007,123-45-6795
10008,123-45-6796
10009,123-45-6797
10010,123-45-6798
10011,123-45-6799
10012,123-45-6800
10013,123-45-6801
10014,123-45-6802
10015,123-45-6803
10016,123-45-6804
10017,123-45-6805
10018,123-45-6806
10019,123-45-6807
10020,123-45-6808
10021,123-45-6809
10022,123-45-6810
10023,123-45-6811
10024,123-45-6812
10025,123-45-6813
10026,123-45-6814
10027,123-45-6815
10028,123-45-6816
10029,123-45-6817
10030,123-45-6818
